TF,TargetGene,Effect,PMID,DATABASEA,Tissue
JUN,ALOX12,Unknown,14518567,Trrust,"skin,mammarygland,bonemarrow,leukocytes,erythroidlineage"
RUNX1,ALOX12,Unknown,20181616,Trrust,"bonemarrow,erythroidlineage,megakaryocytelineage"
SP1,ALOX12,Activation,9164849,Trrust,skin
SP1,ALOX12,Unknown,14518567;16118214,Trrust,"erythroidlineage,skin"
STAT6,ALOX12,Unknown,10657944,Trrust,lung
HDAC1,ALOX15,Unknown,19198625,Trrust,colon
MTA1,ALOX15,Unknown,19198625,Trrust,colon
SPI1,ALOX15,Activation,16320347,Trrust,"leukocytes,lung"
STAT6,ALOX15,Activation,12517954,Trrust,lung
EGR1,ALOX5,Activation,9062372,Trrust,vasculature
EGR1,ALOX5,Repression,15517885,Trrust,"sensory,pancreas,prostate,ovary,skin,kidney,mammarygland,colon,stomach,leukocytes,liver"
EGR1,ALOX5,Unknown,10436859,Trrust,"pancreas,lung,bonemarrow,leukocytes,liver"
HDAC2,ALOX5,Activation,21883892,Trrust,leukocytes
HDAC3,ALOX5,Activation,21883892,Trrust,leukocytes
NFKB1,ALOX5,Repression,15517885,Trrust,"sensory,pancreas,prostate,ovary,skin,kidney,mammarygland,colon,stomach,leukocytes,liver"
RELA,ALOX5,Repression,15517885,Trrust,"sensory,pancreas,prostate,ovary,skin,kidney,mammarygland,colon,stomach,leukocytes,liver"
SP1,ALOX5,Activation,19781662;9062372,Trrust,"leukocytes,hspcs,vasculature,blood"
SP1,ALOX5,Unknown,10436859;2251250,Trrust,"hspcs,blood,lung,leukocytes,erythroidlineage,uterus"
TP53,ALOX5,Unknown,17018618,Trrust,prostate
AHR,CYP1A1,Activation,12213390;9865727,Trrust,liver
AHR,CYP1A1,Unknown,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073,Trrust,"skin,mammarygland,rectum,colon,liver"
ARNT,CYP1A1,Unknown,12376470;19255421;19376845;8631128,Trrust,"mammarygland,liver,skin"
BRCA1,CYP1A1,Unknown,16567799,Trrust,mammarygland
ESR1,CYP1A1,Repression,15837795,Trrust,mammarygland
KLF4,CYP1A1,Unknown,9651398,Trrust,ovary
NFIC,CYP1A1,Repression,10490621,Trrust,liver
NFKB1,CYP1A1,Unknown,19928584,Trrust,liver
PPARA,CYP1A1,Activation,15521013,Trrust,"lung,liver"
RARA,CYP1A1,Unknown,15325265,Trrust,"rectum,colon"
RELA,CYP1A1,Unknown,19928584,Trrust,liver
USF1,CYP1A1,Repression,9388470,Trrust,liver
VDR,CYP1A1,Unknown,22837390,Trrust,leukocytes
FOS,CYP1A2,Unknown,12135113,Trrust,liver
HNF1A,CYP1A2,Unknown,7723729,Trrust,"mammarygland,liver"
JUN,CYP1A2,Unknown,12135113,Trrust,liver
AHR,CYP1B1,Activation,16115918;19287966,Trrust,"prostate,rectum,colon"
