TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
TEAD4,AKR1C1,leukocytes,TEAD4 IP - K562 cells,,,
GTF2B,AKR1C1,lung,GTF2B IP,,,
FOXA2,AKR1C1,liver,FOXA2 IP - HepG2 cells,,,
ZEB1,AKR1C1,liver,ZEB1 IP - HepG2 cells,,,
CEBPB,AKR1C1,mammarygland,CEBPB IP - MCF7 cells,,,
ETS1,AKR1C1,lung,ETS1 IP - A549 cells,,,
MAFF,AKR1C1,leukocytes,MAFF IP - K562 cells,,,
FOXA2,AKR1C1,embryonictissue,FOXA2 IP - Rep 1,,,
YY1,AKR1C1,leukocytes,"YY1 IP - K562 cells, Rep 1",,,
TBP,AKR1C1,liver,TBP IP - HepG2 cells,,,
MAX,AKR1C1,leukocytes,"MAX IP - K562 cells, MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2",,,
USF1,AKR1C1,liver,USF1 IP - HepG2 cells,,,
TEAD4,AKR1C1,liver,TEAD4 IP - HepG2 cells,,,
DHT,AKR1C1,mammarygland,DHT | FOXA1 ChIP-Seq,,,
FOXA2,AKR1C1,lung,FOXA2 IP - A549 cells,,,
ATF1,AKR1C1,leukocytes,ATF1 IP - K562 cells,,,
CEBPB,AKR1C1,colon,"CEBPB IP, CEBPB IP | 125DVD3",,,
KLF5,AKR1C1,pancreas,FOXA1 IP | KLF5 KO,,,
CTCF,AKR1C1,hspcs,"CTCF IP - HSPCs, Rep 1",,,
REST,AKR1C1,stemcells,"REST IP - H1 cells, Rep 1",,,
ARID3A,AKR1C1,liver,ARID3A IP - HepG2 cells,,,
JUND,AKR1C1,uterus,JUND IP - HeLa cells,,,
PIAS1,AKR1C1,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1",,,
ZNF143,AKR1C1,stemcells,ZNF143 IP - H1 cells,,,
FOSL2,AKR1C1,mammarygland,FOSL2 IP - MCF7 cells,,,
IRF1,AKR1C1,leukocytes,"IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h",,,
REST,AKR1C1,cns,REST IP - U87 cells,,,
REST,AKR1C1,leukocytes,REST IP - K562 cells,,,
JUN,AKR1C1,leukocytes,"JUN IP - K562 cells, Rep 2",,,
FOXA1,AKR1C1,stemcells,FOXA1 IP - Rep 5 ,,,
IFNA1,AKR1C1,leukocytes,"IRF1 IP | IFNA1-13 - K562 cells, 6 h",,,
USF1,AKR1C1,leukocytes,USF1 IP - K562 cells,,,
MAX,AKR1C1,lung,MAX IP - A549 cells,,,
JUN,AKR1C1,vasculature,JUN IP,,,
GTF2B,AKR1C1,leukocytes,GTF2B IP - K562 cells,,,
REST,AKR1C1,lung,REST IP - A549 cells,,,
TAL1,AKR1C1,leukocytes,TAL1 IP - K562 cells,,,
HEY1,AKR1C1,liver,HEY1 IP - HepG2 cells,,,
TBP,AKR1C1,uterus,TBP IP - HeLa cells,,,
IRF1,AKR1C1,pancreas,IRF1 IP,,,
JUND,AKR1C1,leukocytes,JUND IP - K562 cells,,,
PDX1,AKR1C1,pancreas,PDX1 IP,,,
125DVD3,AKR1C1,colon,CEBPB IP | 125DVD3,,,
