TF,TargetGene,Tissue,chea,signor,trrust,Experiment
REST,ACAA2,lung,,,,REST IP - A549 cells
ZNF384,ACAA2,leukocytes,,,,ZNF384 IP - K562 cells
MTA3,ACAA2,leukocytes,,,,MTA3 IP - GM12878 cells
FOXA1,ACAA2,stemcells,,,,FOXA1 IP - ES D5
BAY082,ACAA2,leukocytes,,,,"RELA IP | BAY082  - IVD Th1 cells, PIA"
HOXA4,ACAA2,colon,,,,HOXA4 IP 
JUND,ACAA2,stemcells,,,,JUND IP - H1 cells
E2F4,ACAA2,uterus,,,,E2F4 IP - HeLa cells
MYBL2,ACAA2,liver,,,,MYBL2 IP - HepG2 cells
H9,ACAA2,leukocytes,,,,"STAT5B IP | H9, Rep 2, STAT5B IP | H9, Rep 2"
ERG,ACAA2,leukocytes,,,,ERG IP - Rep 1
EGR1,ACAA2,leukocytes,,,,"EGR1 IP - GM12878 cells, Rep 1, EGR1 IP - K562 cells"
TCF12,ACAA2,cns,,,,TCF12 IP - SK-N-SH cells
MAFF,ACAA2,leukocytes,,,,MAFF IP - K562 cells
MAZ,ACAA2,leukocytes,,,,MAZ IP - GM12878 cells
MYC,ACAA2,mammarygland,,,,DHT | MYC ChIP-Seq
GATA3,ACAA2,lung,,,,GATA3 IP - A549 cells
MAZ,ACAA2,uterus,,,,MAZ IP - HeLa cells
YY1,ACAA2,stemcells,,,,YY1 IP - H1 cells
FOSL2,ACAA2,cns,,,,FOSL2 IP - SK-N-SH cells
YY1,ACAA2,uterus,,,,YY1 IP - ECC1 cells
SRF,ACAA2,colon,,,,SRF IP - HCT116 cells
DHT,ACAA2,prostate,,,,DHT | FOXA1 ChIP-Seq
MXI1,ACAA2,cns,,,,MXI1 IP - SK-N-SH cells 
GATA4,ACAA2,stomach,,,,GATA4 IP - AGS
MXI1,ACAA2,leukocytes,,,,MXI1 IP - GM12878 cells
CEBPB,ACAA2,liver,,,,CEBPB ChIP-Seq - HepG2
NFKB1,ACAA2,leukocytes,,,,NFKB1 IP - Rep 2
CEBPA,ACAA2,leukocytes,,,,CEBPA IP
MXI1,ACAA2,lung,,,,MXI1 IP - IMR cells
ATF2,ACAA2,colon,,,,ATF2 IP 
TBP,ACAA2,uterus,,,,TBP IP - HeLa cells
CTCF,ACAA2,liver,,,,CTCF IP - SK-N-SH cells
SP1,ACAA2,stemcells,,,,SP1 IP - H1 cells
MAX,ACAA2,liver,,,,"MAX IP - HepG2 cells, MAX IP - MCF7 cells"
CTCF,ACACA,leukocytes,,,,"CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM11831 cells, CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM12869 cells , CTCF IP - KU812 cells, Rep 17 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - F36P cells, Rep 15 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM2255 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM12868 cells , CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - KU812 cells, Rep 9 , CTCF IP - K562 cells, Rep 16 , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12866 cells , CTCF IP - F36P cells, Rep 11 , CTCF IP - F36P cells, Rep 3 , CTCF IP - GM12892 cells, Rep 2 , CTCF IP - GM06986 cells, CTCF IP - GM19099 cells, Rep 2 , CTCF IP -  CD20+ cells , CTCF IP - K562 cells, CTCF IP - GM19099 cells, Rep 1 , CTCF IP - F36P cells, Rep 19 , CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12870 cells , CTCF IP - GM19239 cells, Rep 1 , CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12867 cells , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM2255 cells, Rep 1 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - KU812 cells, Rep 5 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM18526 cells, Rep 2 , CTCF ChIP-Seq - GM12878, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - GM12871 cells , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - K562 cells , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - F36P cells, Rep 10 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - K562 cells, CTCF IP - GM11994 cells, Rep 2, CTCF IP - MS1 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - F36P cells, Rep 2 , CTCF IP - K562 cells, Rep 12 , CTCF IP, CTCF IP - CD14+ cells , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - GM07346 cells, CTCF IP - GM2610 cells, Rep 3 , CTCF IP -  DND "
FOXA1,ACACA,mammarygland,,,,"DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, FOXA1 IP - T47D cells, 17BE2 | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, FOXA1 ChIP-Seq - Rep 2"
DHT,ACACA,mammarygland,,,,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
GABPA,ACACA,prostate,,,,"GABPA IP | R1881, GABPA IP - Rep 1"
R1881,ACACA,prostate,,,,"GABPA IP | R1881, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 | FOXA1 ChIP-Seq, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1"
SPI1,ACACA,leukocytes,,,,"SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 5 , SPI1 IP - GM12878 cells, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP, SPI1 IP - HL cells, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 1 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP - GM12891 cells, SPI1 IP"
E2F1,ACACA,prostate,,,,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, E2F1 ChIP-Seq - Rep 1"
BICALU,ACACA,prostate,,,,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
HES6,ACACA,prostate,,,,"HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 4, BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, HES6 OE | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1"
NFYB,ACACA,uterus,,,,NFYB IP - HeLa cells
