Database,TF,TargetGene,Tissue,Experiment,Overlapping_Genes,Pubmed_ID,Pubmed_Link,Genes Mentioned in the Paper,Paper_Link,PMID,chea,signor,trrust,Signor,Trrust,Chea
SPP,DEX,BAAT,mammarygland,"DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 1, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 2, DEX | FOXA1 ChIP-Seq - Rep 1",,,,,,,,,,,,
SPP,USF1,BAAT,uterus,USF1 IP - ECC1 cells,,,,,,,,,,,,
SPP,JUND,BAAT,cns,"JUND IP - SK-N-SH cells , JUND IP - SK-N-SH cells",,,,,,,,,,,,
SPP,DHT,BAAT,prostate,"POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq - C4- Rep 2B, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,,,,,,,,,,
SPP,POU2F1,BAAT,prostate,POU2F1 KD + DHT | FOXA1 ChIP-Seq,,,,,,,,,,,,
SPP,FOXP1,BAAT,prostate,FOXP1 ChIP-Seq,,,,,,,,,,,,
SPP,REST,BAAT,cns,REST IP - SK-N-SH cells,,,,,,,,,,,,
SPP,MAFK,BAAT,lung,MAFK IP - IMR cells,,,,,,,,,,,,
SPP,CTCF,BAAT,skin,"CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 1 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG10803 cells, Rep 2 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - BJ cells, Rep 1 ",,,,,,,,,,,,
SPP,CTCF,BAAT,cns,"CTCF IP - NHA cells , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - BE(2)-C cells, Rep 2 , CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - SK-N-SH cells , CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 , CTCF IP - SK cells, CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - cerebellar astrocyte cells, Rep 1 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 ",,,,,,,,,,,,
SPP,CEBPB,BAAT,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,,,,,,,,,,,
SPP,CTCF,BAAT,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 ",,,,,,,,,,,,
SPP,CTCF,BAAT,uterus,"CTCF IP - HeLa cells , CTCF IP - HeLa cells, Rep 1 ",,,,,,,,,,,,
SPP,R1881,BAAT,prostate,"R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, GATA2 KD + R1881 |Â FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 |Â FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1",,,,,,,,,,,,
SPP,FOS,BAAT,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP - MCF10A cells, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h",,,,,,,,,,,,
SPP,4HT,BAAT,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h",,,,,,,,,,,,
SPP,17BE2,BAAT,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1",,,,,,,,,,,,
SPP,YY1,BAAT,cns,YY1 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,CTCF,BAAT,sensory,"CTCF IP - HRPEpiC cells, Rep 1 , CTCF IP - WERI , CTCF IP - HRPEpiC cells, Rep 2 , CTCF IP - WERI-Rb-1- cells, Rep 1 ",,,,,,,,,,,,
SPP,CTCF,BAAT,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - dÂ 3",,,,,,,,,,,,
SPP,FOXA2,BAAT,stemcells,FOXA2 IP - Rep 5 ,,,,,,,,,,,,
SPP,ARID3A,BAAT,liver,ARID3A IP - HepG2 cells,,,,,,,,,,,,
SPP,GATA4,BAAT,stomach,GATA4 IP - AGS,,,,,,,,,,,,
SPP,ZBTB17,BAAT,bone,"ZBTB17 IP, ZBTB17 IP",,,,,,,,,,,,
SPP,CTCF,BAAT,heart,"CTCF IP - myocytes cells, Rep 2 , CTCF IP - HCF cells , CTCF IP - myocytes cells, Rep 1 ",,,,,,,,,,,,
SPP,CREB1,BAAT,prostate,"CREB1 ChIP-Seq - LNCaP, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2",,,,,,,,,,,,
SPP,MYBL2,BAAT,liver,MYBL2 IP - HepG2 cells,,,,,,,,,,,,
SPP,CTCF,BAAT,mammarygland,"CTCF IP - HMEC cells, Rep 1 , CTCF IP - MCF-7 cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMF cells, Rep 1 , CTCF IP - MCF-7 cells Rep 2 , CTCF IP - MCF7 cells, CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 2 ",,,,,,,,,,,,
SPP,USF1,BAAT,stemcells,USF1 IP - H1 cells,,,,,,,,,,,,
SPP,MAX,BAAT,cns,MAX IP - SK-N-SH cells,,,,,,,,,,,,
SPP,CTCF,BAAT,kidney,"CTCF IP - HRE cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 ",,,,,,,,,,,,
SPP,CTCF,BAAT,colon,"CTCF IP - Caco , CTCF IP - HCT116 cells, Rep 2 , CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, CTCF IP - Rep 1 , CTCF IP - HCT116 cells, Rep 1 ",,,,,,,,,,,,
SPP,MAX,BAAT,stemcells,MAX IP - H1 cells,,,,,,,,,,,,
SPP,USF1,BAAT,leukocytes,USF1 IP - K562 cells,,,,,,,,,,,,
SPP,FOXA1,BAAT,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells",,,,,,,,,,,,
SPP,DEX,BAAT,lung,"FOXA1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells, CTCF IP | DEX - A549 cells ",,,,,,,,,,,,
SPP,CREB1,BAAT,liver,"CREB1 IP - HepG2 cells, CREB1 IP",,,,,,,,,,,,
SPP,AR,BAAT,prostate,"WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq, AR Q640X OE + FOXA1 OE | FOXA1 ChIP-Seq, WT AR OE + FOXA1 OE | FOXA1 ChIP-Seq - high FOXA1, AR C562S OE + FOXA1 OE | FOXA1 ChIP-Seq",,,,,,,,,,,,
SPP,SIX2,BAAT,kidney,"SIX2 IP - 17 weeks, Rep 2",,,,,,,,,,,,
SPP,FOSL2,BAAT,cns,FOSL2 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,CTCF,BAAT,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 ",,,,,,,,,,,,
SPP,JUN,BAAT,liver,JUN IP - HepG2 cells,,,,,,,,,,,,
SPP,SP1,BAAT,liver,SP1 IP - HepG2 cells,,,,,,,,,,,,
SPP,SMAD1,BAAT,hspcs,SMAD1 IP - Rep 3,,,,,,,,,,,,
SPP,GATA2,BAAT,prostate,"GATA2 KD  |Â FOXA1 ChIP-Seq, GATA2 KD + R1881 |Â FOXA1 ChIP-Seq",,,,,,,,,,,,
SPP,CTCF,BAAT,bone,"CTCF IP - Osteoblasts , CTCF IP",,,,,,,,,,,,
SPP,FOXA1,BAAT,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2",,,,,,,,,,,,
SPP,STAT1,BAAT,leukocytes,STAT1 IP - Rep 3,,,,,,,,,,,,
SPP,IFNG,BAAT,leukocytes,STAT1 IP - Rep 3,,,,,,,,,,,,
SPP,TCF12,BAAT,cns,TCF12 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,FOXA2,BAAT,embryonictissue,FOXA2 IP - Rep 1,,,,,,,,,,,,
SPP,MAFK,BAAT,liver,"MAFK IP - HepG2 cells, Rep 2, MAFK IP - HepG2 cells, Rep 1",,,,,,,,,,,,
SPP,GATA3,BAAT,cns,GATA3 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,FOXA1,BAAT,stemcells,"FOXA1 IP - Rep 5 , FOXA1 IP - ES D2, FOXA1 IP - ES D5",,,,,,,,,,,,
SPP,JUN,BAAT,vasculature,JUN IP,,,,,,,,,,,,
SPP,CTCF,BAAT,placenta,"CTCF IP - HVMF cells, Rep 2 , CTCF IP - HVMF cells, Rep 1 ",,,,,,,,,,,,
SPP,GATA6,BAAT,stomach,GATA6 IP - YCC3,,,,,,,,,,,,
SPP,OTX2,BAAT,stemcells,OTX2 IP - Rep 10 ,,,,,,,,,,,,
SPP,MXI1,BAAT,liver,MXI1 IP - HepG2 cells,,,,,,,,,,,,
SPP,ELF1,BAAT,liver,ELF1 IP - HepG2 cells,,,,,,,,,,,,
SPP,SOX2,BAAT,stemcells,SOX2 IP,,,,,,,,,,,,
SPP,USF1,BAAT,liver,USF1 IP - HepG2 cells,,,,,,,,,,,,
SPP,CDX2,BAAT,colon,CDX2 IP,,,,,,,,,,,,
SPP,JUND,BAAT,vasculature,JUND IP,,,,,,,,,,,,
SPP,CTCF,BAAT,esophagus,"CTCF IP - HEEpiC cells, Rep 1 , CTCF IP - HEEpiC cells, Rep 2 ",,,,,,,,,,,,
SPP,CTCF,BAAT,pancreas,CTCF IP,,,,,,,,,,,,
SPP,EGR1,BAAT,leukocytes,EGR1 IP - K562 cells,,,,,,,,,,,,
SPP,FOSL2,BAAT,lung,FOSL2 IP - A549 cells,,,,,,,,,,,,
SPP,CTCF,BAAT,liver,"CTCF IP - HepG2 cells , CTCF IP - HepG2 cells, Rep 2 , CTCF IP - HepG2 cells, Rep 1 , CTCF IP, CTCF IP - SK-N-SH cells",,,,,,,,,,,,
SPP,FOSL2,BAAT,liver,FOSL2 IP - HepG2 cells,,,,,,,,,,,,
SPP,CTCF,BAAT,skeletalmuscle,"CTCF IP - HSMM cells, Rep 2 , CTCF IP - HSMM cells, Rep 1 ",,,,,,,,,,,,
SPP,ZNF143,BAAT,leukocytes,"ZNF143 IP - GM12878 cells, ZNF143 IP - K562 cells",,,,,,,,,,,,
SPP,GATA3,BAAT,lung,GATA3 IP - A549 cells,,,,,,,,,,,,
SPP,ZEB1,BAAT,liver,ZEB1 IP - HepG2 cells,,,,,,,,,,,,
SPP,JUND,BAAT,liver,"JUND IP - HepG2 cells, JUND IP - HepG2 cells",,,,,,,,,,,,
SPP,PIAS1,BAAT,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1",,,,,,,,,,,,
SPP,ZNF143,BAAT,stemcells,ZNF143 IP - H1 cells,,,,,,,,,,,,
SPP,MAFF,BAAT,liver,MAFF IP - HepG2 cells,,,,,,,,,,,,
SPP,PBX3,BAAT,cns,PBX3 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,FOXA1,BAAT,uterus,FOXA1 ChIP-Seq - Tumor C,,,,,,,,,,,,
SPP,TCF12,BAAT,lung,TCF12 IP - A549 cells,,,,,,,,,,,,
SPP,CEBPB,BAAT,liver,CEBPB ChIP-Seq - HepG2,,,,,,,,,,,,
SPP,MAX,BAAT,liver,MAX IP - HepG2 cells,,,,,,,,,,,,
SPP,SP1,BAAT,lung,SP1 IP - A549 cells,,,,,,,,,,,,
SPP,FOXA2,BAAT,liver,FOXA2 IP - HepG2 cells,,,,,,,,,,,,"19822575,19822575,"
SPP,TEAD4,BAAT,cns,TEAD4 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,SRF,BAAT,stemcells,SRF IP - Rep 7 ,,,,,,,,,,,,
SPP,CTCF,ELOVL1,lung,"CTCF IP - NHLF cells , CTCF IP - A549 cells, Rep 2 , CTCF ChIP-Seq - A549, CTCF IP - A549 cells, CTCF IP - IMR cells, CTCF IP | DEX - A549 cells, CTCF IP - A549 cells , CTCF IP - SAEC cells, Rep 2 , CTCF IP - NHLF cells , CTCF IP - SAEC cells, Rep 1 , CTCF IP | DEX - A549 cells , CTCF IP - HPF cells, Rep 1 , CTCF IP - A549 cells, Rep 1 , CTCF IP - AG04450 cells, Rep 2 , CTCF IP - HPF cells, Rep 2 , CTCF IP - AG04450 cells, Rep 1 ",,,,,,,,,,,,
SPP,REST,ELOVL1,lung,REST IP - A549 cells,,,,,,,,,,,,
SPP,FOXA1,ELOVL1,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, WT AR OE | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, CON KD | FOXA1 ChIP-Seq, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CON KD | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2",,,,,,,,,,,,
SPP,CREB1,ELOVL1,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2",,,,,,,,,,,,
SPP,NFYA,ELOVL1,leukocytes,"NFYA IP - GM12878 cells, NFYA IP - K562 cells",,,,,,,,,,,,
SPP,MAZ,ELOVL1,uterus,MAZ IP - HeLa cells,,,,,,,,,,,,
SPP,CTCF,ELOVL1,leukocytes,"CTCF ChIP-Seq - GM12878, CTCF IP - GM2610 cells, Rep 2 , CTCF IP - GM12489 cells, Rep 1, CTCF IP - F36P cells, Rep 14 , CTCF IP - GM19240 cells, Rep 2 , CTCF IP - GM12874 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - F36P cells, Rep 13 , CTCF IP - GM10847 cells, Rep 1 , CTCF IP - GM12234 cells, CTCF IP - K562 cells, CTCF IP - K562 cells, Rep 2 , CTCF IP - GM19238 cells, Rep 2 , CTCF IP - K562 cells , CTCF IP - GM12871 cells , CTCF IP - GM19193 cells, Rep 1 , CTCF IP - GM12870 cells , CTCF IP - GM12867 cells , CTCF IP, CTCF IP - HL , CTCF IP - GM12872 cells, Rep 3 , CTCF IP - GM12864 cells, Rep 2 , CTCF IP - K562 cells, Rep 13 , CTCF IP - GM12749 cells, Rep 1, CTCF IP - GM2255 cells, Rep 3 , CTCF IP - GM07346 cells, CTCF IP - Â DND , CTCF IP - CD14+ cells , CTCF IP - GM18526 cells, Rep 1 , CTCF IP - K562 cells, Rep 12 , CTCF IP - F36P cells, Rep 2 , CTCF IP - F36P cells, Rep 15 , CTCF IP - GM12864 cells, Rep 1 , CTCF IP - GM12815 cells, Rep 1, CTCF IP - GM12891 cells, Rep 2 , CTCF IP - GM12875 cells, Rep 1 , CTCF IP - GM2630 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 3 , CTCF IP - GM19240 cells, Rep 1 , CTCF IP - GM12865 cells, Rep 3 , CTCF IP - GM11994 cells, Rep 2, CTCF IP - GM19099 cells, Rep 1 , CTCF IP - GM19099 cells, Rep 2 , CTCF IP - GM12869 cells , CTCF IP - F36P cells, Rep 10 , CTCF IP - GM19239 cells, Rep 2 , CTCF IP - GM12154 cells, Rep 2, CTCF IP - GM18505 cells, Rep 1 , CTCF IP - GM11831 cells, CTCF IP - GM2255 cells, Rep 1 , CTCF IP - F36P cells, Rep 5 , CTCF IP - GM12890 cells, Rep 2 , CTCF IP - GM11992 cells, Rep 1, CTCF IP - GM12878 cells, Rep 2 , CTCF IP - F36P cells, Rep 6 , CTCF IP - GM12872 cells, Rep 1 , CTCF IP - UT-7 cells, Rep 4 , CTCF IP - GM11994 cells, Rep 1, CTCF IP - GM19239 cells, Rep 1 , CTCF IP - GM19238 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - KU812 cells, Rep 17 , CTCF IP - KU812 cells, Rep 13 , CTCF IP - GM12154 cells, Rep 1, CTCF IP - UT-7 cells, Rep 3 , CTCF IP - GM10847 cells, Rep 2 , CTCF IP - K562 cells, Rep 11 , CTCF IP - GM11811 cells, Rep 2, CTCF IP - KU812 cells, Rep 9 , CTCF IP - GM12866 cells , CTCF IP - GM12891 cells, Rep 1 , CTCF IP - GM12872 cells, Rep 2 , CTCF IP - F36P cells, Rep 1 , CTCF IP - MS1 cells, Rep 4 , CTCF IP - GM2588 cells, Rep 3 , CTCF IP - GM12868 cells , CTCF IP - GM18526 cells, Rep 2 , CTCF IP - GM12865 cells, Rep 1 , CTCF IP - GM18505 cells, Rep 2 , CTCF IP - GM12864 cells, Rep 3 , CTCF IP - GM18951 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 2 , CTCF IP - GM18486 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM11881 cells, CTCF IP - GM12865 cells, Rep 2 , CTCF IP - F36P cells, Rep 3 , CTCF IP - MS1 cells, Rep 1 , CTCF IP - F36P cells, Rep 11 , CTCF IP - K562 cells, Rep 1 , CTCF IP - GM06990 cells, Rep 1 , CTCF IP - GM18951 cells, Rep 1 , CTCF IP - GM2610 cells, Rep 3 , CTCF IP - F36P cells, Rep 7 , CTCF IP - GM2610 cells, Rep 1 , CTCF IP - GM06986 cells, CTCF IP - K562 cells, Rep 16 , CTCF IP - GM12892 cells, Rep 1 , CTCF IP - K562 cells, CTCF IP - GM18486 cells, Rep 2 , CTCF IP - UT-7 cells, Rep 1 , CTCF IP - MS1 cells, Rep 2 , CTCF IP - KU812 cells, Rep 1 , CTCF IP - HL-60 cells, Rep 7 , CTCF IP - GM2630 cells, Rep 3 , CTCF IP - GM12890 cells, Rep 3 , CTCF IP - GM2588 cells, Rep 1 , CTCF IP - HeLa cells, Rep 2 , CTCF IP - Â CD20+ cells , CTCF IP - GM12828 cells, CTCF IP - K562 cells, CTCF IP - GM12892 cells, Rep 2 , CTCF IP - F36P cells, Rep 19 , CTCF IP - NB4 cells , CTCF IP - GM12878 cells, Rep 1 , CTCF IP - GM12873 cells, Rep 1 , CTCF IP - GM18486 cells, Rep 3 , CTCF IP - GM19193 cells, Rep 2 , CTCF IP - GM12878 cells , CTCF IP - GM12890 cells, Rep 1 , CTCF IP - GM12814 cells, Rep 1, CTCF IP - K562 cells, Rep 14 , CTCF IP - GM12814 cells, Rep 2, CTCF IP - GM2255 cells, Rep 2 , CTCF IP - K562 cells, Rep 15 , CTCF IP - MS1 cells, Rep 3 , CTCF IP - GM2630 cells, Rep 2 , CTCF IP - GM12874 cells, Rep 2 , CTCF IP - GM2588 cells, Rep 2 , CTCF IP - F36P cells, Rep 18 , CTCF IP - GM12875 cells, Rep 2 , CTCF IP - GM11811 cells, Rep 1, CTCF IP - KU812 cells, Rep 5 ",,,,,,,,,,,,
SPP,FOS,ELOVL1,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells",,,,,,,,,,,,
SPP,E2F4,ELOVL1,leukocytes,"E2F4 IP - GM12878 cells, E2F4 IP - K562 cells",,,,,,,,,,,,
SPP,ETS1,ELOVL1,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP",,,,,,,,,,,,
SPP,JUNB,ELOVL1,colon,JUNB IP ,,,,,,,,,,,,
SPP,RELA,ELOVL1,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM18951 cells, RELA IP | BAY082  - IVD Th1 cells, PIA, RELA IP | TNF - GM12891 cells",,,,,,,,,,,,
SPP,TNF,ELOVL1,leukocytes,"RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM12891 cells",,,,,,,,,,,,
SPP,YY1,ELOVL1,uterus,YY1 IP - ECC1 cells,,,,,,,,,,,,
SPP,CTCF,ELOVL1,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 6 , CTCF IP - MEG-01 cells, Rep 2 ",,,,,,,,,,,,
SPP,PRDM1,ELOVL1,uterus,PRDM1 IP - HeLa cells,,,,,,,,,,,,
SPP,FOXM1,ELOVL1,mammarygland,"FOXM1 IP | THSP - DS018, FOXM1 IP - DS005, FOXM1 IP - DS017, FOXM1 IP | THSP - DS006, FOXM1 IP - DS007, FOXM1 IP | THSP - DS008, FOXM1 IP - MCF7 cells",,,,,,,,,,,,
SPP,CTCF,ELOVL1,esophagus,"CTCF IP - HEEpiC cells, Rep 1 , CTCF IP - HEEpiC cells, Rep 2 ",,,,,,,,,,,,
SPP,TCF12,ELOVL1,cns,TCF12 IP - SK-N-SH cells,,,,,,,,,,,,
SPP,TCF12,ELOVL1,uterus,TCF12 IP - ECC1 cells,,,,,,,,,,,,
SPP,CTCF,ELOVL1,colon,"CTCF IP - Rep 2 , CTCF IP - Rep 1 , CTCF IP - HCT116 cells, Rep 1 , CTCF IP - Rep 3 , CTCF IP - Caco , CTCF IP - HCT116 cells, CTCF IP - Caco-2 cells, Rep 1 , CTCF IP - HCT116 cells, Rep 2 ",,,,,,,,,,,,
SPP,CTCF,ELOVL1,cns,"CTCF IP - cerebellar astrocyte cells, Rep 2 , CTCF IP - BE(2)-C cells, Rep 1 , CTCF IP - SK cells, CTCF IP - spinal cord astrocyte cells, Rep 2 , CTCF IP - HCPEpiC cells, Rep 1 , CTCF IP - cerebellar astrocyte cells, Rep 1 , CTCF IP - HCPEpiC cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 2 , CTCF IP - SK-N-SH cells, Rep 1 , CTCF IP - NHA cells , CTCF IP - spinal cord astrocyte cells, Rep 1 , CTCF IP - SK-N-SH cells ",,,,,,,,,,,,
SPP,E2F6,ELOVL1,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells",,,,,,,,,,,,
SPP,GATA2,ELOVL1,prostate,"GATA2 ChIP-Seq - Rep 2, GATA2 ChIP-Seq",,,,,,,,,,,,
SPP,STAT3,ELOVL1,stemcells,"STAT3 IP - Rep 1 , STAT3 IP - Rep 2 ",,,,,,,,,,,,
SPP,YY1,ELOVL1,colon,YY1 IP - HCT116 cells,,,,,,,,,,,,
SPP,E2F6,ELOVL1,uterus,E2F6 IP - HeLa cells,,,,,,,,,,,,
SPP,ELF1,ELOVL1,colon,ELF1 IP - HCT116 cells,,,,,,,,,,,,
SPP,ZNF263,ELOVL1,kidney,ZNF263 IP - HEK293 cells,,,,,,,,,,,,
SPP,TP63,ELOVL1,skin,TP63 IP,,,,,,,,,,,,
SPP,GATA4,ELOVL1,stemcells,"GATA4 IP - Rep 8 , GATA4 IP - Rep 9 ",,,,,,,,,,,,
SPP,CEBPB,ELOVL1,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP",,,,,,,,,,,,
SPP,MAZ,ELOVL1,leukocytes,"MAZ IP - GM12878 cells, MAZ IP - K562 cells",,,,,,,,,,,,
SPP,TBP,ELOVL1,liver,TBP IP - HepG2 cells,,,,,,,,,,,,
SPP,SP2,ELOVL1,liver,SP2 IP - HepG2 cells,,,,,,,,,,,,
SPP,CTCF,ELOVL1,skin,"CTCF IP - AG04449 cells, Rep 2 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - BJ cells, Rep 2 , CTCF IP - AG09309 cells, Rep 1 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells , CTCF IP - HFFC cells, Rep 1 , CTCF IP - NHDF cells , CTCF IP - HFFC cells, Rep 3 , CTCF IP - NHDF cells, Rep 1 , CTCF IP - NHDF cells, Rep 2 , CTCF IP - AG10803 cells, Rep 1 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - AG10803 cells, Rep 2 ",,,,,,,,,,,,
SPP,CTCF,ELOVL1,uterus,"CTCF IP - HeLa cells, Rep 1 , CTCF IP - HeLa cells ",,,,,,,,,,,,
SPP,MAX,ELOVL1,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 1, MAX IP - HeLa cells, Rep 2",,,,,,,,,,,,
SPP,IRF1,ELOVL1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, IRF1 IP | IFNA1-13 - K562 cells, 6 h",,,,,,,,,,,,
SPP,IFNG,ELOVL1,leukocytes,"IRF1 IP | IFNG - K562 cells, 30 min, IRF1 IP | IFNG - K562 cells, 6 h, MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 5, STAT1 IP - Rep 3, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 2, STAT1 IP - Rep 6, MYC IP | IFNG - K562 cells, 6 h",,,,,,,,,,,,
SPP,HOXA4,ELOVL1,colon,HOXA4 IP ,,,,,,,,,,,,
SPP,E2F1,ELOVL1,prostate,"BICALU + HES6OE | E2F1 ChIP-Seq - Rep 4, BICALU | E2F1 ChIP-Seq - Rep 4, HES6 OE | E2F1 ChIP-Seq - Rep 2, BICALU | E2F1 ChIP-Seq - Rep 3, HES6 OE | E2F1 ChIP-Seq - Rep 3, E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 3, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 1, HES6 OE | E2F1 ChIP-Seq - Rep 1, E2F1 ChIP-Seq - Rep 4, BICALU + HES6 OE | E2F1 ChIP-Seq - Rep 2, E2F1 ChIP-Seq - Rep 1, HES6 OE + BICALU | E2F1 ChIP-Seq - Rep 3, BICALU | E2F1 ChIP-Seq - Rep 1, BICALU | E2F1 ChIP-Seq - Rep 2",,,,,,,,,,,,
