TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
SRF,ACAT2,stemcells,SRF IP - Rep 7 ,,,
NFYA,ACAT2,leukocytes,"NFYA IP - GM12878 cells, NFYA IP - K562 cells",,,
FOS,ACAT2,leukocytes,"FOS IP - GM12878 cells, FOS IP - K562 cells",,,
OTX2,ACAT2,stemcells,OTX2 IP - Rep 10 ,,,
MAX,ACAT2,stemcells,MAX IP - H1 cells,,,
TP53,ACAT2,lung,"TP53 IP - propapoptic, Rep 1",,,
CEBPB,ACAT2,liver,"CEBPB IP - HepG2 cells, CEBPB ChIP-Seq - HepG2, CEBPB IP | FORSK - HepG2 cells",,,
TCF12,ACAT2,cns,TCF12 IP - SK-N-SH cells,,,
ZBTB7A,ACAT2,uterus,ZBTB7A IP - ECC1 cells,,,
SREBF1,ACAT2,liver,"SREBF1 IP | PRAV - HepG2 cells, SREBF1 IP | INS + 22RHC - HepG2 cells",,,
POU2F2,ACAT2,leukocytes,"POU2F2 IP - GM12878 cells, POU2F2 IP - Rep 2",,,
STAT1,ACAT2,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
IFNG,ACAT2,uterus,"STAT1 IP | IFNG - HeLa cells, 30 min",,,
FOXA1,ACAT2,liver,"FOXA1 IP - HepG2 cells, Rep 1, FOXA1 IP - HepG2 cells, Rep 2",,,
MXI1,ACAT2,liver,MXI1 IP - HepG2 cells,,,
JUND,ACAT2,cns,JUND IP - SK-N-SH cells,,,
CREB1,ACAT2,lung,CREB1 IP | DEX - A549 cells,,,
DEX,ACAT2,lung,CREB1 IP | DEX - A549 cells,,,
MAZ,ACAT2,lung,MAZ IP - IMR cells,,,
TP53,ACAT2,skin,"TP53 IP | NUTL3, TP53 IP",,,
MAFK,ACAT2,leukocytes,MAFK IP - K562 cells,,,
MAX,ACAT2,lung,MAX IP - A549 cells,,,
BHLHE40,ACAT2,liver,BHLHE40 IP - HepG2 cells,,,
FOXP2,ACAT2,cns,FOXP2 IP - PFSK-1 cells,,,
GABPA,ACAT2,prostate,"GABPA IP - Rep 1, GABPA IP | R1881, GABPA IP - Rep 2",,,
MYC,ACAT2,liver,MYC IP,,,
CEBPB,ACAT2,colon,"CEBPB IP | 125DVD3, CEBPB IP",,,
125DVD3,ACAT2,colon,CEBPB IP | 125DVD3,,,
CEBPB,ACAT2,lung,"CEBPB ChIP-Seq - A549, CEBPB ChIP-Seq - IMR90, CEBPB IP - A549 cells",,,
RUNX1,ACAT2,leukocytes,SPI1 IP | RUNX1 KD,,,
E2F4,ACAT2,mammarygland,E2F4 IP | 4HT - MCF10 cells,,,
FOS,ACAT2,uterus,FOS IP - HeLa cells,,,
CTCF,ACAT2,adiposetissue,"CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0",,,
YY1,ACAT2,liver,YY1 IP - HepG2 cells,,,
YY1,ACAT2,stemcells,YY1 IP - H1 cells,,,
HOXA6,ACAT2,colon,HOXA6 IP ,,,
ATF1,ACAT2,leukocytes,ATF1 IP - K562 cells,,,
ZNF263,ACAT2,kidney,ZNF263 IP - HEK293 cells,,,
KLF5,ACAT2,stomach,KLF5 IP - KATOIII,,,
CTCF,ACAT2,uterus,CTCF IP - HeLa cells ,,,
STAT1,ACAT2,leukocytes,"STAT1 IP - Rep 5, STAT1 IP - Rep 1, STAT1 IP - Rep 4, STAT1 IP - Rep 3, STAT1 IP - Rep 2",,,
SRF,ACAT2,leukocytes,"SRF IP - SK-N-SH cells, SRF IP - GM12878 cells, Rep 2",,,
REST,ACAT2,stemcells,"REST IP - H1 cells, Rep 1",,,
PIAS1,ACAT2,prostate,"PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1",,,
MXI1,ACAT2,lung,MXI1 IP - IMR cells,,,
TCF12,ACAT2,stemcells,TCF12 IP - H1 cells,,,
KLF11,ACAT2,adiposetissue,"KLF11 ChIP-Seq, Rep 2, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2, KLF11 ChIP-Seq, Rep 1",,,
MYC,ACAT2,uterus,MYC IP - HeLa cells,,,
ATF3,ACAT2,leukocytes,ATF3 IP - K562 cells,,,
E2F4,ACAT2,leukocytes,"E2F4 IP - K562 cells, E2F4 IP - GM12878 cells",,,
GABPA,ACAT2,cns,GABPA IP - SK-N-SH cells,,,
