TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
STAT3,LIPE,mammarygland,"STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP - MCF10A cells, Rep 2",,,
FOXA1,LIPE,mammarygland,"17BE2 | FOXA1 ChIP-Seq, DEX | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2, DHT | FOXA1 ChIP-Seq, FOXA1 ChIP-Seq - Rep 1",,,
17BE2,LIPE,mammarygland,"17BE2 | FOXA1 ChIP-Seq, 17BE2 | FOXA1 ChIP-Seq - Rep 1, 17BE2 | FOXA1 ChIP-Seq - Rep 2",,,
ZNF143,LIPE,uterus,ZNF143 IP - HeLa cells,,,
SP1,LIPE,colon,SP1 IP - HCT116 cells,,,
GATA4,LIPE,stomach,GATA4 IP - AGS,,,
MAX,LIPE,uterus,"MAX IP - ECC1 cells, MAX IP - HeLa cells, Rep 2, MAX IP - HeLa cells, Rep 1",,,
USF1,LIPE,lung,"USF1 IP - A549 cells, Rep 1, USF1 IP | DEX - A549 cells",,,
CTCF,LIPE,adiposetissue,"CTCF ChIP-Seq - d 9, CTCF ChIP-Seq - d -2, CTCF ChIP-Seq - d 0, CTCF ChIP-Seq - d 3",,,
EGR1,LIPE,liver,EGR1 IP - MCF7 cells,,,
RELA,LIPE,colon,RELA IP ,,,
JUN,LIPE,colon,JUN IP ,,,
TCF3,LIPE,leukocytes,TCF3 IP - GM12878 cells,,,
HOXA6,LIPE,colon,HOXA6 IP ,,,
CTCF,LIPE,bone,"CTCF IP, CTCF IP - Osteoblasts ",,,
CEBPB,LIPE,leukocytes,"CEBPB IP - K562 cells, CEBPB ChIP-Seq - K562, CEBPB IP - Rep 204, CEBPB IP | oxLDL  - Rep 208",,,
CEBPB,LIPE,stemcells,"CEBPB IP, CEBPB IP - H1 cells, CEBPB IP, CEBPB IP",,,
ATF1,LIPE,leukocytes,ATF1 IP - K562 cells,,,
CREB1,LIPE,stemcells,CREB1 IP - H1 cells,,,
E2F6,LIPE,leukocytes,"E2F6 IP - K562 cells, E2F6 IP - K562 cells",,,
MAX,LIPE,liver,"MAX IP - MCF7 cells, MAX IP - HepG2 cells",,,
ELF1,LIPE,mammarygland,ELF1 IP - MCF7 cells,,,
REST,LIPE,stemcells,"REST IP - H1 cells, Rep 1, REST IP - H1 cells, Rep 2",,,
FOXA2,LIPE,embryonictissue,FOXA2 IP - Rep 2,,,
CTCF,LIPE,vasculature,"CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 , CTCF IP - HPAF cells, Rep 2 ",,,
REST,LIPE,cns,"REST IP - U87 cells, REST IP - PFSK1 cells, Rep 2, REST IP - PFSK-N-SH cells1 cells, Rep 1",,,
MYBL2,LIPE,liver,MYBL2 IP - HepG2 cells,,,
TEAD4,LIPE,uterus,TEAD4 IP - ECC1 cells,,,
ZEB1,LIPE,liver,ZEB1 IP - HepG2 cells,,,
ARID3A,LIPE,liver,ARID3A IP - HepG2 cells,,,
MAX,LIPE,vasculature,MAX IP - HUVEC cells,,,
IRF4,LIPE,leukocytes,IRF4 IP,,,
REST,LIPE,lung,REST IP - A549 cells,,,
EGR1,LIPE,leukocytes,EGR1 IP - K562 cells,,,
BARX1,LIPE,colon,BARX1 IP - Rep 1 ,,,
SP1,LIPE,liver,SP1 IP - HepG2 cells,,,
STAT1,LIPE,leukocytes,STAT1 IP - Rep 3,,,
GLI2,LIPE,colon,GLI2 IP ,,,
ATF2,LIPE,colon,ATF2 IP ,,,
JUN,LIPE,leukocytes,"JUN IP | IFNA1-13 - 30 min , JUN IP - K562 cells, Rep 1",,,
IFNA1,LIPE,leukocytes,JUN IP | IFNA1-13 - 30 min ,,,
MYC,LIPE,mammarygland,"DHT | MYC ChIP-Seq, MYC IP | 4HT - MCF10A cells, MYC IP - MCF-10A cells",,,
DHT,LIPE,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,
CTCF,LIPE,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 ",,,
ROSI,LIPE,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2",,,
JUND,LIPE,leukocytes,"JUND IP - GM12878 cells, Rep 1 , JUND IP - K562 cells",,,
USF1,LIPE,colon,USF1 IP - HCT116 cells,,,
SREBF1,LIPE,leukocytes,SREBF1 IP - GM12878 cells,,,
SRF,LIPE,leukocytes,"SRF IP - GM12878 cells, Rep 2",,,
ELF3,LIPE,pancreas,"ELF3 IP, ELF3 IP",,,
