TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,B3GALNT1,megakaryocytelineage,"CTCF IP - MEG-01 cells, Rep 2 , CTCF IP - MEG-01 cells, Rep 8 , CTCF IP - MEG-01 cells, Rep 4 , CTCF IP - MEG-01 cells, Rep 10 , CTCF IP - MEG-01 cells, Rep 6 ",,,
YY1,B3GALNT1,leukocytes,YY1 IP - GM12891 cells,,,
CTCF,B3GALNT1,hspcs,"CTCF IP - HSPCs, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - Erythroid cells, Rep 1",,,
CEBPB,B3GALNT1,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,,
RELA,B3GALNT1,leukocytes,RELA IP | TNF - GM12891 cells,,,
TNF,B3GALNT1,leukocytes,RELA IP | TNF - GM12891 cells,,,
CTCF,B3GALNT1,kidney,"CTCF IP - HEK293 cells, Rep 1 , CTCF IP - HRE cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 2 ",,,
TEAD4,B3GALNT1,stemcells,TEAD4 IP - H1 cells,,,
CTCF,B3GALNT1,skin,"CTCF IP - NHDF cells, Rep 2 , CTCF IP - NHEK cells , CTCF IP - AG04449 cells, Rep 1 , CTCF IP - HFFC cells, Rep 3 , CTCF IP - AG04449 cells, Rep 2 , CTCF IP - HFFC cells, Rep 2 , CTCF IP - BJ cells, Rep 1 , CTCF IP - NHEK cells, Rep 2 , CTCF IP - GM12878 cells, Rep 2 , CTCF IP - HFFC cells, Rep 1 ",,,
RUNX1,B3GALNT1,hspcs,RUNX1,,,
ZNF217,B3GALNT1,mammarygland,ZNF217 IP - MCF7 cells,,,
CTCF,B3GALNT1,placenta,"CTCF IP - HVMF cells, Rep 2 , CTCF IP - HVMF cells, Rep 1 ",,,
PIAS1,B3GALNT1,prostate,PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2,,,
ELF3,B3GALNT1,pancreas,"ELF3 IP, ELF3 IP",,,
MAX,B3GALNT1,leukocytes,"MAX IP - NB4 cells, MAX IP - K562 cells",,,
JUND,B3GALNT1,stemcells,JUND IP - H1 cells,,,
CTCF,B3GALNT1,pancreas,CTCF IP,,,
DHT,B3GALNT1,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq",,,
ZBTB7A,B3GALNT1,uterus,ZBTB7A IP - ECC1 cells,,,
SRF,B3GALNT1,stemcells,"SRF IP - Rep 1 , SRF IP - Rep 7 ",,,
MAX,B3GALNT1,stemcells,"MAX IP - H1 cells, MAX IP - H1 cells",,,
DEX,B3GALNT1,lung,"CTCF IP | DEX - A549 cells , CTCF IP | DEX - A549 cells",,,
KLF11,B3GALNT1,adiposetissue,"KLF11 ChIP-Seq, Rep 2",,,
GATA2,B3GALNT1,hspcs,GATA2 IP,,,
JUND,B3GALNT1,uterus,JUND IP - HeLa cells,,,
JUN,B3GALNT1,mammarygland,"JUN IP - Rep 1, JUN IP - Rep 2",,,
MAX,B3GALNT1,colon,MAX IP - HCT116 cells,,,
ERG,B3GALNT1,prostate,"DMSO | ERG ChIP-Seq - Rep 1, JQI | ERG ChIP-Seq - Rep 1, ERG ChIP-Seq, ERG ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h",,,
TBP,B3GALNT1,stemcells,TBP IP - H1 cells,,,
GABPA,B3GALNT1,stemcells,GABPA IP - H1 cells,,,
4HT,B3GALNT1,mammarygland,"FOS IP | 4HT - MCF10A cells, 12 h, FOS IP | 4HT - MCF10A cells, 36 h, FOS IP | 4HT - MCF10A cells, 4 h",,,
E2F1,B3GALNT1,mammarygland,"E2F1 IP - MCF7 cells, E2F1 IP",,,
