TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
GABPA,ARSA,leukocytes,"GABPA IP - GM12878 cells, Rep 2 , GABPA IP - K562 cells, GABPA IP - Jurkat, Rep 1, GABPA IP - GM12878 cells, Rep 4 , GABPA IP - Jurkat, Rep 2",,,
MEF2B,ARSA,kidney,MEF2B IP | MEF2B OE - Rep 2,,,
HEY1,ARSA,liver,HEY1 IP - HepG2 cells,,,
NFKB1,ARSA,leukocytes,"NFKB1 IP - Rep 1, NFKB1 IP - Rep 2",,,
FOXM1,ARSA,uterus,FOXM1 IP - ECC1 cells,,,
MAX,ARSA,vasculature,MAX IP - HUVEC cells,,,
MYB,ARSA,leukocytes,"MYB IP - MOLT3, MYB IP - Jurkat, Rep 5, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 1, MYB IP - Jurkat, Rep 3",,,
ELF1,ARSA,cns,ELF1 IP - SK-N-SH cells,,,
HIF1A,ARSA,vasculature,HIF1A IP,,,
YY1,ARSA,uterus,YY1 IP - ECC1 cells,,,
TCF12,ARSA,cns,TCF12 IP - SK-N-SH cells,,,
MAZ,ARSA,leukocytes,"MAZ IP - K562 cells, MAZ IP - GM12878 cells",,,
