Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Database,TF,TargetGene,Tissue,Experiment
165,165,165,SPP,USF2,SOAT1,uterus,USF2 IP - HeLa cells
166,166,166,SPP,MEF2B,SOAT1,kidney,"MEF2B IP | MEF2B OE - Rep 2, MEF2B IP | MEF2B D83V OE - Rep 1"
167,167,167,SPP,REST,SOAT1,pancreas,"REST IP - Panc1 cells, Rep 3"
168,168,168,SPP,ZBTB7A,SOAT1,liver,ZBTB7A IP - HepG2 cells
169,169,169,SPP,125DVD3,SOAT1,colon,"CDX2 IP | 125DVD3, CEBPB IP | 125DVD3"
170,170,170,SPP,GABPA,SOAT1,liver,"GABPA IP - HepG2 cells, GABPA IP - MCF7 cells"
171,171,171,SPP,NFYA,SOAT1,leukocytes,NFYA IP - K562 cells
172,172,172,SPP,GATA3,SOAT1,cns,GATA3 IP - SK-N-SH cells
173,173,173,SPP,CEBPA,SOAT1,leukocytes,"CEBPA IP - U-937 cells, Rep 2 , CEBPA IP, CEBPA IP - U-937 cells, Rep 1 "
174,174,174,SPP,FOXA2,SOAT1,liver,FOXA2 IP - HepG2 cells
175,175,175,SPP,JUN,SOAT1,colon,JUN IP 
176,176,176,SPP,17BE2,SOAT1,mammarygland,"17BE2 | FOXA1 ChIP-Seq - Rep 2, 17BE2 | FOXA1 ChIP-Seq - Rep 1"
177,177,177,SPP,REST,SOAT1,mammarygland,REST IP - MCF7 cells
178,178,178,SPP,ERG,SOAT1,prostate,DHT | ERG ChIP-Seq - 18 h
179,179,179,SPP,CTCF,SOAT1,miscellaneous,"CTCF IP - AG09319 cells, Rep 1 , CTCF IP - AG09319 cells, Rep 2 "
180,180,180,SPP,PAX5,SOAT1,leukocytes,"PAX5 IP - GM12878 cells, Rep 2, PAX5 IP - GM12892 cells, PAX5 IP - GM12878 cells, Rep 1"
181,181,181,SPP,GABPA,SOAT1,cns,GABPA IP - SK-N-SH cells
182,182,182,SPP,MYC,SOAT1,uterus,MYC IP - HeLa cells
183,183,183,SPP,OTX2,SOAT1,stemcells,"OTX2 IP - Rep 2 , OTX2 IP - Rep 10 "
184,184,184,SPP,TBP,SOAT1,uterus,TBP IP - HeLa cells
185,185,185,SPP,TCF7L2,SOAT1,uterus,TCF7L2 IP - HeLa cells
186,186,186,SPP,JUND,SOAT1,uterus,JUND IP - HeLa cells
187,187,187,SPP,YY1,SOAT1,liver,YY1 IP - HepG2 cells
188,188,188,SPP,MYBL2,SOAT1,liver,MYBL2 IP - HepG2 cells
189,189,189,SPP,MXI1,SOAT1,liver,MXI1 IP - HepG2 cells
190,190,190,SPP,SP1,SOAT1,liver,SP1 IP - HepG2 cells
191,191,191,SPP,GATA2,SOAT1,cns,GATA2 ChIP-Seq SH-SY5Y
192,192,192,SPP,ATF3,SOAT1,colon,ATF3 IP - HCT116 cells
193,193,193,SPP,MAX,SOAT1,colon,MAX IP - HCT116 cells
194,194,194,SPP,IRF1,SOAT1,pancreas,IRF1 IP
195,195,195,SPP,ZKSCAN1,SOAT1,uterus,ZKSCAN1 IP - HeLa cells
196,196,196,SPP,SREBF1,SOAT1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
197,197,197,SPP,22RHC; INS,SOAT1,liver,SREBF1 IP | INS + 22RHC - HepG2 cells
198,198,198,SPP,CTCF,SOAT1,pancreas,CTCF IP
199,199,199,SPP,USF1,SOAT1,liver,USF1 IP - HepG2 cells
200,200,200,SPP,EBF1,SOAT1,leukocytes,EBF1 IP - GM12878 cells
201,201,201,SPP,JUND,SOAT1,leukocytes,JUND IP - K562 cells
202,202,202,SPP,DHT,SOAT1,mammarygland,"DHT | FOXA1 ChIP-Seq, DHT | MYC ChIP-Seq"
203,203,203,SPP,EGR1,SOAT1,colon,EGR1 IP - HCT116 cells
204,204,204,SPP,ETS1,SOAT1,leukocytes,"ETS1 IP, ETS1 IP - K562 cells"
205,205,205,SPP,SMAD1,SOAT1,hspcs,SMAD1 IP - Rep 3
206,206,206,SPP,FORSK,SOAT1,liver,CEBPB IP | FORSK - HepG2 cells
207,207,207,SPP,FOXP2,SOAT1,cns,FOXP2 IP - PFSK-1 cells
208,208,208,SPP,MXI1,SOAT1,lung,MXI1 IP - IMR cells
209,209,209,SPP,FOXA2,SOAT1,colon,FOXA2 IP 
210,210,210,SPP,IRF1,SOAT1,colon,IRF1 IP 
211,211,211,SPP,E2F3,SOAT1,colon,E2F3 IP 
212,212,212,SPP,CTCF,SOAT1,hspcs,"CTCF IP - HSPCs, Rep 2"
213,213,213,SPP,ROSI,SOAT1,adiposetissue,"ROSI (BrAT) | KLF11 ChIP-Seq, Rep 1, ROSI (BrAT) | KLF11 ChIP-Seq, Rep 2"
214,214,214,SPP,CTCF,SOAT1,bone,CTCF IP - Osteoblasts 
215,215,215,SPP,FOSL2,SOAT1,cns,FOSL2 IP - SK-N-SH cells
216,216,216,SPP,MAZ,SOAT1,lung,MAZ IP - IMR cells
217,217,217,SPP,HNF1B,SOAT1,pancreas,HNF1B IP
218,218,218,SPP,NFYC,SOAT1,colon,NFYC IP 
219,219,219,SPP,RUNX1,SOAT1,leukocytes,RUNX1 IP
220,220,220,SPP,CTCF,SOAT1,esophagus,"CTCF IP - HEEpiC cells, Rep 2 , CTCF IP - HEEpiC cells, Rep 1 "
221,221,221,SPP,TBP,SOAT1,leukocytes,"TBP IP - GM12878 cells, TBP IP - K562 cells"
222,222,222,SPP,MXI1,SOAT1,leukocytes,MXI1 IP - GM12878 cells
223,223,223,SPP,YY1,SOAT1,lung,YY1 IP - A549 cells
224,224,224,SPP,MYC,SOAT1,bone,MYC IP
225,225,225,SPP,MAX,SOAT1,cns,MAX IP - SK-N-SH cells
226,226,226,SPP,CTCF,SOAT1,skeletalmuscle,"CTCF IP - HSMM cells, Rep 1 , CTCF IP - HSMM cells, Rep 2 "
227,227,227,SPP,SRF,SOAT1,colon,SRF IP - HCT116 cells
228,228,228,SPP,JUND,SOAT1,liver,JUND IP - HepG2 cells
229,229,229,SPP,STAT3,SOAT1,uterus,STAT3 IP - HeLa cells
230,230,230,SPP,ZEB1,SOAT1,liver,ZEB1 IP - HepG2 cells
231,231,231,SPP,ERG,SOAT1,leukocytes,ERG IP - Rep 1
232,232,232,SPP,EGR1,SOAT1,liver,EGR1 IP - MCF7 cells
233,233,233,SPP,IRF4,SOAT1,leukocytes,IRF4 IP
234,234,234,SPP,JUN,SOAT1,leukocytes,"JUN IP - K562 cells, Rep 2"
235,235,235,SPP,EGR1,SOAT1,stemcells,EGR1 IP - H1 cells
236,236,236,SPP,E2F4,SOAT1,mammarygland,E2F4 IP | 4HT - MCF10 cells
237,237,237,SPP,KLF5,SOAT1,stomach,KLF5 IP - KATOIII
238,238,238,SPP,EGR1,SOAT1,leukocytes,EGR1 IP - K562 cells
239,239,239,SPP,SOX9,SOAT1,colon,SOX9 IP 
240,240,240,SPP,PDX1,SOAT1,stemcells,PDX1 IP
241,241,241,SPP,FOXH1,SOAT1,embryonictissue,FOXH1 IP - endoderm
242,242,242,SPP,GATA1,SOAT1,erythroidlineage,"GATA1 IP - PBDE cells, Rep 1"
243,243,243,SPP,GLI2,SOAT1,colon,GLI2 IP 
244,244,244,SPP,TAL1,SOAT1,colon,TAL1 IP 
245,245,245,SPP,SRF,SOAT1,stemcells,SRF IP - Rep 5 
246,246,246,SPP,ZBTB7A,SOAT1,leukocytes,ZBTB7A IP - SK-N-SH cells
247,247,247,SPP,JUND,SOAT1,stemcells,JUND IP - H1 cells
248,248,248,SPP,TP53,SOAT1,mammarygland,TP53 IP
249,249,249,SPP,E2F4,SOAT1,leukocytes,E2F4 IP - K562 cells
250,250,250,SPP,TCF12,SOAT1,uterus,TCF12 IP - ECC1 cells
251,251,251,SPP,CREB1,SOAT1,stemcells,CREB1 IP - H1 cells
252,252,252,SPP,TCF12,SOAT1,cns,TCF12 IP - SK-N-SH cells
