classification,metabolites,Chebi,kegg,PubChem,Lipidmaps,Notation
lipid_derivative,"4-Cholesten-7a,24(S)-diol-3-one",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=48701,http://www.genome.jp/dbget-bin/www_bget?C17331,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24755589,,Cholesten-diol-one
lipid_derivative,4-cholesten-7alpha-ol-3-one,,,https://pubchem.ncbi.nlm.nih.gov/compound/123743,,Cholesten-ol-one
lipid_species,"cis-4-decenoyl-CoA",https://www.ebi.ac.uk/chebi/CHEBI:29140,,,,"cis-4-decenoyl-CoA"
lipid_derivative,4M4Cdienol,NA,NA,NA,NA,4M4Cdienol
lipid_derivative,4MCdienone,NA,NA,NA,NA,4MCdienone
lipid_derivative,4MCdienonol,https://www.ebi.ac.uk/chebi/CHEBI:87051,,,,4MCdienonol
lipid_derivative,"5,6-epoxyeicosatrienoic acid(5,6-EET)",https://www.ebi.ac.uk/chebi/CHEBI:34450,,,,"5,6-EET"
lipid_derivative,"5b-Cholestan-3a,7a,12a,24(S),27-pentol",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=63835,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=56927969,,5b-Cholestan-pentol
lipid_derivative,"5b-Cholestan-3a,7a,12a,24(S)-tetrol",https://www.ebi.ac.uk/chebi/CHEBI:63834,,,,"5b-Cholestan-tetrol(3,7,12,24)"
lipid_derivative,"5b-Cholestane-3a,7a,24(S),27-tetrol",https://www.ebi.ac.uk/chebi/CHEBI:63833,,https://pubchem.ncbi.nlm.nih.gov/compound/56928010,,"5b-Cholestan-tetrol(3,7,24,27)"
lipid_derivative,"5b-Cholestan-3a,7a,24(S)-triol",https://www.ebi.ac.uk/chebi/CHEBI:63831,,,,5b-Cholestan-triol
lipid_derivative,"5b-Cholestan-7a,24(S)-diol-3-one",https://www.ebi.ac.uk/chebi/CHEBI:63829,,,,5b-Cholestan-diol-one
lipid_derivative,"5b-Cholesten-7a,12a,24(S)-triol-3-one",https://www.ebi.ac.uk/chebi/CHEBI:63830,,,,5b-Cholesten-triol-one
lipid_derivative,"5b-Pregnane-3,20-dione",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28952,http://www.genome.jp/dbget-bin/www_bget?C03681,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=92810,,"5b-Pregnane-3,20-dione"
lipid_derivative,5-hydroxyeicosatetraenoic acid(5-HETE),http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28209,http://www.genome.jp/dbget-bin/www_bget?C04805,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280733,,5-HETE
lipid_derivative,5-oxo-eicosatetraenoic acid(5-oxoETE),https://www.ebi.ac.uk/chebi/CHEBI:52449,,,,5-oxoETE
lipid_derivative,5S-hydroperoxyeicosatetranoic acid (5S-HpETE),https://www.ebi.ac.uk/chebi/CHEBI:15632,,,,5S-HpETE
lipid_derivative,6-keto-PGF1alpha,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28158,http://www.genome.jp/dbget-bin/www_bget?C05961,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280888,,6-keto-PGF1alpha
lipid_species,"6Z,9Z-Octadecadienoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15530,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52922047,,"C18:2-CoA (6Z,9Z)"
lipid_derivative,7a-Hydroxypregnenolone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=81467,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9967418,,7a-OH-Pregnenolone
lipid_derivative,7alpha-cholesterol,,,https://pubchem.ncbi.nlm.nih.gov/compound/107722,,7alpha-Chol
lipid_species,"8,11,14-Eicosatrienoyl-CoA",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27979,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11966190,,"C20:3-CoA (8Z,11Z,14Z)"
lipid_derivative,"8,9-epoxyeicosatrienoic acid(8,9-EET)",https://www.ebi.ac.uk/chebi/CHEBI:34490,,,,"8,9-EET"
lipid_derivative,9(10)-EpOME,https://www.ebi.ac.uk/chebi/CHEBI:34494,,,,9(10)-EpOME
lipid_derivative,9-hpODE,https://www.ebi.ac.uk/chebi/CHEBI:146293,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1928,,9-HpODE
lipid_derivative,9-Hydroxyoctadecadienoic-acid(9-HODE),https://www.ebi.ac.uk/chebi/CHEBI:72651,,,,9-HODE
lipid_derivative,"9-OH-12,13-EpOME",https://www.ebi.ac.uk/chebi/CHEBI:165794,,,,"9-OH-12,13-EpOME"
nonlipid,Acetate,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15366,http://www.genome.jp/dbget-bin/www_bget?C00033,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176,,Ac-
nonlipid,Acetoacetate(ACA),https://www.ebi.ac.uk/chebi/CHEBI:13705,,,,ACA
lipid_species,Acetoacetyl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:2393,,,,Acetoacetyl-ACP
lipid_species,Acetoacetyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15345,http://www.genome.jp/dbget-bin/www_bget?C00332,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=92153,,Acetoacetyl-CoA
lipid_species,Acetyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:57288,,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=181,,C2:0-CoA
lipid_species,Acetyl-ACP,,,https://pubchem.ncbi.nlm.nih.gov/compound/10484,,C2:0-ACP
nonlipid,Acetylcholine,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15355,,,,Achol
lipid_subclass,AcylCarnitine,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15414,,,,AcylCarnitine
lipid_subclass,Acyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=17984,,,,Acyl-CoA
lipid_derivative,Acyl-dihydroxyacetone-phosphate,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16108,,,,Acyl-DHAP
lipid_derivative,Adrenosterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=2495,,,,Adrenosterone
lipid_derivative,Aldosterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27584,,,,Aldosterone
lipid_derivative,"Allopregnane-3a,20a-diol",http://www.ebi.ac.uk/chebi/searchId.do?chebiId=81470,,,,"Allopregnane-3a,20a-diol"
lipid_derivative,"Allopregnane-3a,20a-diol 5a-Pregnan-17a-ol-3,20-dione",https://www.ebi.ac.uk/chebi/CHEBI:81470,,,,"Allopregnane-3a,20a-diol"
lipid_derivative,Allopregnanolone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=50169,,,,Allopregnanolone
lipid_subclass,Alpha-Linolenic-Acid,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=27432,,,,ALA
lipid_species,Alpha-Linolenoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=51985,,,,ALA-CoA
lipid_derivative,anandamide,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=2700,,,,anandamide
lipid_derivative,Androstenedione,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16422,,,,Androstenedione
lipid_derivative,Androsterone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16032,,,,Androsterone
lipid_species,Arachidic-acid,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=28822,,,,Arachidic-acid
lipid_derivative,Arachidonic-acid,https://www.ebi.ac.uk/chebi/CHEBI:15843,,,,AA
lipid_species,Arachidonyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:15514,,,,Arachidonyl-CoA
lipid_species,Arachidoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:15527,,,,Arachidoyl-CoA
lipid_species,But-2-enoyl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:132146,,,,C4:1-ACP(2E)
lipid_species,Butanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:22954,,,,C4:0-CoA
lipid_species,Butyryl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:3247,,,,C4:0-ACP
lipid_class,Cardiolipin,https://www.ebi.ac.uk/chebi/CHEBI:28494,,,,CL
nonlipid,Carnitine,http://ebi.ac.uk/chebi/CHEBI:17126,,,,Carn
nonlipid,CDP-choline,https://www.ebi.ac.uk/chebi/CHEBI:16436,,,,CDP-cho
nonlipid,CDP-ethanolamine (CDP-ETA),https://www.ebi.ac.uk/chebi/CHEBI:16732,,,,CDP-ETA
lipid_subclass,N-acylsphingosine,https://www.ebi.ac.uk/chebi/CHEBI:52639,,,,CERA-d18
lipid_subclass,Ceramide,https://www.ebi.ac.uk/chebi/CHEBI:17761,,http://www.lipidmaps.org/data/LMSDRecord.php?&LMID=LMSP02,,Cer
lipid_species,Cerotoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:52966,,,,C26:0-CoA
lipid_derivative,"Cholest-5-ene-3b,7a,24-triol",,,https://pubchem.ncbi.nlm.nih.gov/compound/24883434,,"Cholest-5-ene-3b,7a,24-triol"
lipid_derivative,"Cholest-5-ene-3b,7a,25-triol",,,https://pubchem.ncbi.nlm.nih.gov/compound/11954197,,"Cholest-5-ene-3b,7a,25-triol"
lipid_derivative,"Cholesta-5,7,24-trien-3b-ol",https://www.ebi.ac.uk/chebi/CHEBI:27910,,,,"Cholesta-5,7,24-trien-3b-ol"
lipid_derivative,"Cholesta-7,24-dien-3b-ol",https://www.ebi.ac.uk/chebi/CHEBI:145214,,,,"Cholesta-7,24-dien-3b-ol"
lipid_subclass,Cholesterol,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16113,cholest-5-en-3?-ol,http://www.lipidmaps.org/data/LMSDRecord.php?&LMID=LMST01010001,,Chol
lipid_subclass,Cholesteryl-ester(CE),https://www.ebi.ac.uk/chebi/CHEBI:142698,,,,CE(22:4)
nonlipid,Choline,https://www.ebi.ac.uk/chebi/CHEBI:15354,,,,Cho
lipid_class,Chylomicron-remnants(CE),NA,NA,NA,NA,Chylomicron-remnants(CE)
lipid_species,"cis,cis-3,6-dodecadienoyl-CoA",https://www.ebi.ac.uk/chebi/CHEBI:28002,,,,"C12:2-CoA(3Z,6Z)"
nonlipid,citrate,https://www.ebi.ac.uk/chebi/CHEBI:30769,,,,citrate
nonlipid,CMP-Neu5Ac,https://www.ebi.ac.uk/chebi/CHEBI:16556,,,,CMP-Neu5Ac
lipid_derivative,Corticosterone,https://www.ebi.ac.uk/chebi/CHEBI:16827,,,,Corticosterone
lipid_derivative,Cortisol,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=17650,,,,Cortisol
lipid_derivative,Cortisone,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=16962,,,,Cortisone
lipid_species,"crotonoyl-coA",https://www.ebi.ac.uk/chebi/CHEBI:15473,,,,Cronoyl-CoA
nonlipid,Cytidine-diphosphate-diacylglycerol(CDP-DAG),https://www.ebi.ac.uk/chebi/CHEBI:17962,,,,CDP-DAG
nonlipid,D-beta-hydroxybutyrate,https://www.ebi.ac.uk/chebi/CHEBI:10983,,,,D-beta-OHB
lipid_species,Decanoic Acid,https://www.ebi.ac.uk/chebi/CHEBI:30813,,,,decanoate
lipid_species,Decanoyl-ACP,https://www.ebi.ac.uk/chebi/CHEBI:4349,,,,C10:0-ACP
lipid_species,Decanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:28493,,,,C10:0-CoA
lipid_derivative,Dehydroepiandrosterone,https://www.ebi.ac.uk/chebi/CHEBI:28689,,,,DHEA
lipid_derivative,delta12-PGJ2,https://www.ebi.ac.uk/chebi/CHEBI:28130,,,,delta12-PGJ2
lipid_species,Delta2-tetracosaheptaenoyl(DHA-CoA),https://www.ebi.ac.uk/chebi/CHEBI:65139,,,,THA-CoA (delta2)
lipid_derivative,Desmosterol,https://www.ebi.ac.uk/chebi/CHEBI:17737,,,,Desmosterol
lipid_subclass,Diacylglycerol(DAG),,,https://pubchem.ncbi.nlm.nih.gov/compound/6026790,,DAG
lipid_subclass,Dietary-Triglycerides,NA,,,,Dietary-TAG
lipid_class,Digalactosylceramide(Gal2Cer),https://www.ebi.ac.uk/chebi/CHEBI:134506,,,,Gal2Cer
lipid_species,Dihomo-gamma-linolenic-acid,https://www.ebi.ac.uk/chebi/CHEBI:53486,,,,DGLA
lipid_derivative,Dihomo-Gamma-Linolenoyl-CoA,,,https://pubchem.ncbi.nlm.nih.gov/compound/157010222,,DGLA-CoA
lipid_species,Dihydroceramide(DHCE),https://www.ebi.ac.uk/chebi/CHEBI:139048,,,,DHCE
lipid_derivative,Dihydrotestosterone,https://www.ebi.ac.uk/chebi/CHEBI:16330,,,,DHT
nonlipid,Dihydroxy-acetone-phosphate(DHAP),https://www.ebi.ac.uk/chebi/CHEBI:16108,,,,DHAP
lipid_derivative,dihydroxy-acid-leukotriene-B4 (LTB4),https://www.ebi.ac.uk/chebi/CHEBI:15647,,,,dihydroxy-LTB4
lipid_subclass,Dilysocardiolipin (DLCL),https://www.ebi.ac.uk/chebi/CHEBI:60431,,,,DLCL
lipid_Derivative,Dimethylallyl-pyrophosphate(DMAPP),https://www.ebi.ac.uk/chebi/CHEBI:16057,,,,DMAPP
lipid_derivative,"DMCHOLtrienol",https://www.ebi.ac.uk/chebi/CHEBI:17813,,,,DMCHOLtrienol
lipid_derivative,DMLAdienol,https://www.ebi.ac.uk/chebi/CHEBI:18364,,,,DMLAdienol
lipid_Derivative,Docosahexaenoic-acid,https://www.ebi.ac.uk/chebi/CHEBI:28125,,,,DHA
lipid_species,Docosahexaenoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:65132,,,,DHA-CoA
lipid_species,Docosanoyl-CoA,https://www.ebi.ac.uk/chebi/CHEBI:65088,,,,behenoyl-CoA
lipid_species,Docosapentaenoyl-CoA(DPA-CoA),,,https://pubchem.ncbi.nlm.nih.gov/compound/56928012,,DPA-CoA
lipid_species,Docosatetraenoyl-CoA(DTA-CoA),https://www.ebi.ac.uk/chebi/CHEBI:63544,,https://pubchem.ncbi.nlm.nih.gov/compound/56927910,,DTA-CoA
lipid_species,dodecanoic-acid,https://www.ebi.ac.uk/chebi/CHEBI:30805,,,,laurate
lipid_species,Dodecanoyl-ACP,,,https://pubchem.ncbi.nlm.nih.gov/compound/447624,,C12:0-ACP
lipid_species,Dodecanoyl-CoA,http://www.ebi.ac.uk/chebi/searchId.do?chebiId=15521,,,,C12:0-CoA
