TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
STAT1,TECR,uterus,,,,"STAT1 IP | IFNG - HeLa cells, 30 min",,STAT1 -> TECR,2,2,low,low
STAT3,TECR,leukocytes,,,,"STAT3 IP - U-2932, STAT3 IP - SU-DHL-6, STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-4, STAT3 IP - SU-DHL-2",,STAT3 -> TECR,2,2,low,low
STAT3,TECR,mammarygland,,,,"STAT3 IP | 4HT - MCF10 cells, 36 h, STAT3 IP | 4HT - MCF10 cells, 12 h, STAT3 IP - MCF10A cells, Rep 2",,STAT3 -> TECR,2,2,low,low
STAT5A,TECR,leukocytes,,,,"STAT5A IP - GM12878 cells, STAT5A IP - K562 cells",,STAT5A -> TECR,1,1,low,low
TAL1,TECR,colon,,,,TAL1 IP,23953112,TAL1 -> TECR,2,2,low,low
TAL1,TECR,leukocytes,,,,TAL1 IP - K562 cells,,TAL1 -> TECR,2,2,low,low
TBP,TECR,leukocytes,,,,"TBP IP - K562 cells, TBP IP - GM12878 cells",,TBP -> TECR,4,4,medium,medium
TBP,TECR,liver,,,,TBP IP - HepG2 cells,,TBP -> TECR,4,4,medium,medium
TBP,TECR,stemcells,,,,TBP IP - H1 cells,,TBP -> TECR,4,4,medium,medium
TBP,TECR,uterus,,,,TBP IP - HeLa cells,,TBP -> TECR,4,4,medium,medium
TCF12,TECR,cns,,,,TCF12 IP - SK-N-SH cells,,TCF12 -> TECR,4,4,medium,medium
TCF12,TECR,leukocytes,,,,TCF12 IP - GM12878 cells,24076218,TCF12 -> TECR,4,4,medium,medium
TCF12,TECR,lung,,,,TCF12 IP - A549 cells,,TCF12 -> TECR,4,4,medium,medium
TCF12,TECR,uterus,,,,TCF12 IP - ECC1 cells,24076218,TCF12 -> TECR,4,4,medium,medium
TCF21,TECR,vasculature,,,,TCF21 IP,,TCF21 -> TECR,1,1,low,low
TCF7L2,TECR,mammarygland,,,,TCF7L2 ChIP-Seq,,TCF7L2 -> TECR,2,3,low,low
TCF7L2,TECR,pancreas,,,,TCF7L2 IP,,TCF7L2 -> TECR,2,3,low,low
TCF7L2,TECR,uterus,,,,TCF7L2 IP - HeLa cells,,TCF7L2 -> TECR,2,3,low,low
TEAD4,TECR,cns,,,,TEAD4 IP - SK-N-SH cells,,TEAD4 -> TECR,5,6,medium,medium
TEAD4,TECR,colon,,,,TEAD4 IP - HCT116 cells,,TEAD4 -> TECR,5,6,medium,medium
TEAD4,TECR,leukocytes,,,,TEAD4 IP - K562 cells,,TEAD4 -> TECR,5,6,medium,medium
TEAD4,TECR,liver,,,,TEAD4 IP - HepG2 cells,,TEAD4 -> TECR,5,6,medium,medium
TEAD4,TECR,mammarygland,,,,TEAD4 IP - Rep 1,,TEAD4 -> TECR,5,6,medium,medium
TEAD4,TECR,uterus,,,,TEAD4 IP - ECC1 cells,,TEAD4 -> TECR,5,6,medium,medium
TFAP2A,TECR,mammarygland,17053090,,,,,TFAP2A -> TECR,1,2,low,low
TFAP2A,TECR,uterus,17053090,,,,,TFAP2A -> TECR,1,2,low,low
